lsoa,mean_ptal_score,ptal_rating,sample_postcode,borough_outbound
E01000473,13.5286,3,HA0 1TS,4_HA0
E01000474,6.01557,2,HA0 4DF,4_HA0
E01000475,11.3146,3,HA0 1AA,4_HA0
E01000476,4.26955,1b,HA0 1GA,4_HA0
E01000477,4.59434,1b,HA0 1FR,4_HA0
E01000478,10.8191,3,HA0 1DA,4_HA0
E01000479,8.773,2,HA9 9DZ,4_HA9
E01000480,8.53172,2,HA9 9FU,4_HA9
E01000481,10.7994,3,HA9 1AJ,4_HA9
E01000482,13.8398,3,HA9 9AB,4_HA9
E01000483,4.48723,1b,HA9 9BP,4_HA9
E01000484,4.3358,1b,HA3 9DR,4_HA3
E01000485,6.62453,2,HA3 9DG,4_HA3
E01000486,1.89211,1a,HA9 9PJ,4_HA9
E01000487,9.2071,2,HA3 0PS,4_HA3
E01000488,11.5861,3,NW10 2AD,4_NW10
E01000489,9.81995,2,NW10 2AA,4_NW10
E01000490,18.8376,4,NW2 4BD,4_NW6
E01000491,8.22267,2,NW6 7AA,4_NW6
E01000492,10.2217,3,NW10 3AD,4_NW10
E01000493,12.1156,3,NW10 3AA,4_NW10
E01000494,12.7655,3,NW2 4BH,4_NW2
E01000495,16.5721,4,NW2 4BE,4_NW2
E01000497,9.96727,2,NW2 6BA,4_NW2
E01000498,2.96036,1b,NW2 7AG,4_NW2
E01000499,8.17823,2,NW2 6FA,4_NW2
E01000501,7.46656,2,NW2 6DY,4_NW2
E01000502,5.22546,2,NW2 6HT,4_NW2
E01000503,4.5231,1b,NW2 6EY,4_NW2
E01000504,8.5704,2,NW2 4AQ,4_NW2
E01000505,6.07824,2,NW10 1HS,4_NW10
E01000506,12.7783,3,NW10 1BQ,4_NW10
E01000507,8.57724,2,NW10 1EG,4_NW10
E01000508,9.03168,2,NW10 2AQ,4_NW10
E01000509,7.72483,2,NW2 7PA,4_NW2
E01000510,13.532900000000001,3,NW10 0AA,4_NW10
E01000511,14.704599999999997,3,NW10 1AA,4_NW10
