postcode,mean_ptal
BR1 3TD,4.79018
BR1 3TE,4.79018
BR1 3TF,4.79018
BR1 3TG,8.20768
BR1 3TH,4.79018
BR1 3TJ,9.76816
BR1 3TL,8.20768
BR1 3TN,10.5695
BR1 3TP,4.79018
BR1 3TQ,8.20768
BR1 3TR,4.79018
BR1 3TS,3.9783
BR1 3TT,4.79018
BR1 3TU,4.79018
BR1 3TW,3.9783
BR1 3TX,3.9783
BR1 3TY,3.9783
BR1 3TZ,28.5572
BR1 3UA,4.81849
BR1 3UB,3.9783
BR1 3UD,3.9783
BR1 3UE,4.81849
BR1 3UF,28.5572
BR1 3UG,4.81849
BR1 3UH,24.4005
BR1 3UJ,28.5572
BR1 3UL,28.5572
BR1 3UN,28.5572
BR1 3UP,15.9188
BR1 3UQ,28.5572
BR1 3UR,28.5572
BR1 3US,28.5572
BR1 3UT,28.5572
BR1 3UU,9.76816
BR1 3UW,28.5572
BR1 3UX,28.5572
BR1 3UY,28.5572
BR1 3UZ,28.5572
BR1 3WA,28.5572
BR1 3WB,10.5695
BR1 3WD,28.5572
BR1 3WE,28.5572
BR1 3WF,28.5572
BR1 3WG,28.5572
BR1 3WH,28.5572
BR1 3WJ,28.5572
BR1 3WL,28.5572
BR1 3WN,28.5572
BR1 3WP,28.5572
BR1 3WQ,28.5572
BR1 3WR,28.5572
BR1 3WS,28.5572
BR1 3WT,28.5572
BR1 3WU,3.9783
BR1 3WW,28.5572
BR1 3WX,28.5572
BR1 3WY,28.5572
BR1 3WZ,28.5572
BR1 3XA,28.5572
BR1 3XB,28.5572
BR1 3XD,28.5572
BR1 3XE,28.5572
BR1 3XF,28.5572
BR1 3XG,28.5572
BR1 3XH,28.5572
BR1 3XJ,28.5572
BR1 3XL,28.5572
BR1 3XN,28.5572
BR1 3XP,28.5572
BR1 3XQ,28.5572
BR1 3XR,28.5572
BR1 3XS,28.5572
BR1 3XT,28.5572
BR1 3XU,28.5572
BR1 3XW,28.5572
BR1 3XX,28.5572
BR1 3XY,28.5572
BR1 3XZ,28.5572
BR1 3YA,28.5572
BR1 3YB,28.5572
BR1 3YD,28.5572
BR1 3YE,28.5572
BR1 3YF,28.5572
BR1 3YG,28.5572
BR1 3YH,28.5572
BR1 3YJ,28.5572
BR1 3YL,28.5572
BR1 3YN,28.5572
BR1 3YP,28.5572
BR1 3YQ,28.5572
BR1 3YR,28.5572
BR1 3YS,28.5572
BR1 3YT,28.5572
BR1 3YU,28.5572
BR1 3YW,28.5572
BR1 3YX,28.5572
BR1 3YY,24.4005
BR1 3YZ,28.5572
BR1 3ZA,28.5572
BR1 3ZB,28.5572
BR1 3ZD,28.5572
BR1 3ZE,28.5572
BR1 3ZF,28.5572
BR1 3ZG,28.5572
BR1 3ZH,28.5572
BR1 3ZJ,28.5572
BR1 3ZL,28.5572
BR1 3ZN,28.5572
BR1 3ZP,28.5572
BR1 3ZQ,28.5572
BR1 3ZR,28.5572
BR1 3ZS,28.5572
BR1 3ZT,28.5572
BR1 3ZU,28.5572
BR1 3ZW,28.5572
